state_accident_id,vehicle_number,body_type
13058922,1,4 DOOR SEDAN
13058925,1,4 DOOR SEDAN
13058925,3,4 DOOR SEDAN
13059139,1,4 DOOR SEDAN
13059139,2,SUBURBAN
13059230,1,2 DOOR SEDAN
13059230,2,2 DOOR SEDAN
13059313,1,4 DOOR SEDAN
13059313,2,UNKNOWN VEHICLE
13059331,1,SUBURBAN
13059331,2,4 DOOR SEDAN
13059343,1,UNKNOWN VEHICLE
13059409,1,4 DOOR SEDAN
13059546,1,4 DOOR SEDAN
13059619,1,2 DOOR SEDAN
13059619,2,4 DOOR SEDAN
13059619,3,4 DOOR SEDAN
13059619,4,4 DOOR SEDAN
13059629,1,4 DOOR SEDAN
13059629,2,4 DOOR SEDAN
13059699,1,SUBURBAN
13059699,2,4 DOOR SEDAN
13059779,1,4 DOOR SEDAN
13059832,1,TAXI
13059921,1,SUBURBAN
13059921,2,4 DOOR SEDAN
13059931,1,4 DOOR SEDAN
13059931,2,SUBURBAN
13060110,1,4 DOOR SEDAN
13060110,2,4 DOOR SEDAN
13060305,1,4 DOOR SEDAN
13060305,2,4 DOOR SEDAN
13060305,3,4 DOOR SEDAN
13060543,1,4 DOOR SEDAN
13060543,2,SUBURBAN
13060548,1,TAXI
13060571,1,4 DOOR SEDAN
13060571,2,4 DOOR SEDAN
13060578,1,4 DOOR SEDAN
13060578,2,SUBURBAN
13060584,1,UNKNOWN VEHICLE
13060584,3,4 DOOR SEDAN
13060588,1,SUBURBAN
13060588,2,4 DOOR SEDAN
13060946,1,4 DOOR SEDAN
13060946,2,MOTORCYCLE
13061164,1,4 DOOR SEDAN
13061169,1,SUBURBAN
13061169,2,4 DOOR SEDAN
13061195,1,UNKNOWN VEHICLE
13061195,2,SUBURBAN
13061230,1,4 DOOR SEDAN
13061231,1,4 DOOR SEDAN
13061262,1,UNKNOWN VEHICLE
13061386,1,4 DOOR SEDAN
13061386,2,UNKNOWN VEHICLE
13061518,1,4 DOOR SEDAN
13061518,2,4 DOOR SEDAN
13061518,3,SUBURBAN
13061610,1,4 DOOR SEDAN
13061610,2,SUBURBAN
13061710,1,4 DOOR SEDAN
13061710,2,SUBURBAN
13061710,3,4 DOOR SEDAN
13061782,1,4 DOOR SEDAN
13061806,1,4 DOOR SEDAN
13061811,1,4 DOOR SEDAN
13061811,2,4 DOOR SEDAN
13061811,3,SUBURBAN
13061909,1,4 DOOR SEDAN
13062101,1,4 DOOR SEDAN
13062101,2,UNKNOWN VEHICLE
13062148,3,SUBURBAN
