state_accident_id,vehicle_number,age,sex,person_type,injury_severity
17156906,1,22.0,2.0,DRIVER,U - UNKNOWN
17156906,3,nan,3.0,DRIVER,U - UNKNOWN
17156953,1,27.0,2.0,DRIVER,U - UNKNOWN
17156957,2,20.0,1.0,DRIVER,U - UNKNOWN
17156957,1,63.0,1.0,DRIVER,U - UNKNOWN
17157208,1,29.0,1.0,DRIVER,U - UNKNOWN
17157413,1,62.0,1.0,DRIVER,U - UNKNOWN
17157413,2,66.0,1.0,DRIVER,U - UNKNOWN
17157459,1,64.0,1.0,DRIVER,U - UNKNOWN
17157461,1,63.0,1.0,DRIVER,U - UNKNOWN
17157461,2,19.0,1.0,DRIVER,U - UNKNOWN
17157481,1,38.0,1.0,DRIVER,U - UNKNOWN
17157683,1,36.0,2.0,DRIVER,U - UNKNOWN
17157687,1,18.0,1.0,DRIVER,U - UNKNOWN
17157743,1,17.0,2.0,DRIVER,U - UNKNOWN
17157769,2,27.0,1.0,DRIVER,U - UNKNOWN
17157769,1,23.0,2.0,DRIVER,U - UNKNOWN
17157769,3,40.0,2.0,DRIVER,U - UNKNOWN
17157804,1,29.0,1.0,DRIVER,U - UNKNOWN
17157820,1,22.0,1.0,DRIVER,U - UNKNOWN
17157842,1,74.0,1.0,DRIVER,U - UNKNOWN
17157861,1,66.0,1.0,DRIVER,U - UNKNOWN
17157882,1,58.0,2.0,DRIVER,U - UNKNOWN
17157891,1,47.0,1.0,DRIVER,U - UNKNOWN
17157891,2,37.0,2.0,DRIVER,U - UNKNOWN
17157892,1,52.0,2.0,DRIVER,U - UNKNOWN
17157927,2,58.0,2.0,DRIVER,U - UNKNOWN
17157927,1,48.0,2.0,DRIVER,U - UNKNOWN
17157980,1,72.0,2.0,DRIVER,U - UNKNOWN
17157980,2,nan,3.0,DRIVER,U - UNKNOWN
17158064,2,46.0,2.0,DRIVER,U - UNKNOWN
17158064,1,37.0,1.0,DRIVER,U - UNKNOWN
17158250,1,56.0,2.0,DRIVER,U - UNKNOWN
17158285,1,25.0,1.0,DRIVER,U - UNKNOWN
17158334,2,36.0,1.0,DRIVER,U - UNKNOWN
17158334,1,27.0,1.0,DRIVER,U - UNKNOWN
17158334,3,24.0,2.0,DRIVER,U - UNKNOWN
17158351,2,32.0,1.0,DRIVER,U - UNKNOWN
17158351,1,32.0,2.0,DRIVER,U - UNKNOWN
17158352,2,27.0,1.0,DRIVER,U - UNKNOWN
17158352,1,32.0,2.0,DRIVER,U - UNKNOWN
17158428,1,19.0,1.0,DRIVER,U - UNKNOWN
17158560,1,25.0,2.0,DRIVER,U - UNKNOWN
17158560,2,27.0,1.0,DRIVER,U - UNKNOWN
17158621,2,42.0,1.0,DRIVER,U - UNKNOWN
17158621,1,57.0,1.0,DRIVER,U - UNKNOWN
17158632,1,20.0,2.0,DRIVER,U - UNKNOWN
17158663,1,18.0,2.0,DRIVER,U - UNKNOWN
17158727,2,26.0,2.0,DRIVER,U - UNKNOWN
17158727,1,25.0,1.0,DRIVER,U - UNKNOWN
17158743,1,19.0,2.0,DRIVER,U - UNKNOWN
17158882,2,23.0,1.0,DRIVER,U - UNKNOWN
17158882,1,24.0,1.0,DRIVER,U - UNKNOWN
17158928,1,54.0,1.0,DRIVER,U - UNKNOWN
17158960,1,58.0,1.0,DRIVER,U - UNKNOWN
17158960,3,21.0,2.0,DRIVER,U - UNKNOWN
17158960,2,37.0,1.0,DRIVER,U - UNKNOWN
17158975,1,56.0,1.0,DRIVER,U - UNKNOWN
17158988,1,41.0,1.0,DRIVER,U - UNKNOWN
17159062,1,43.0,1.0,DRIVER,U - UNKNOWN
