,CRN,UNIT_NUM,BODY_TYPE,VEH_TYPE,UNIT_TYPE,MODEL_YR,MAKE_CD,NON_MOTORIST,VINA_BODY_TYPE_CD,DVR_PRES_IND
210654,2013043435,1,15.0,6.0,1,2005.0,FORD,0,PUT,1.0
210655,2013043435,2,15.0,6.0,1,2008.0,MITS,0,PUT,1.0
210656,2013043435,3,9.0,1.0,2,9999.0,UNKN,1,,2.0
210681,2013132818,1,51.0,4.0,1,2005.0,DODG,0,TCW,1.0
210719,2013050022,1,2.0,1.0,1,2004.0,CHEV,0,PCP,1.0
210720,2013050022,2,73.0,5.0,1,2010.0,ISU,0,TTB,1.0
210754,2013099869,1,,31.0,30,,,0,,
210755,2013099869,2,4.0,1.0,1,2010.0,CHEV,0,P4D,1.0
210756,2013126065,1,5.0,1.0,1,2010.0,TOYT,0,P4H,1.0
210757,2013126065,2,15.0,6.0,1,2011.0,JEEP,0,T4W,1.0
210784,2013077904,1,4.0,1.0,1,2001.0,MITS,0,P4D,1.0
210794,2013031555,1,15.0,6.0,1,2003.0,JEEP,0,T4W,1.0
210795,2013031555,2,5.0,1.0,1,2010.0,TOYT,0,P4H,1.0
210923,2013109176,1,15.0,6.0,1,2009.0,HOND,0,PUT,1.0
210924,2013109176,2,20.0,2.0,1,2012.0,OTHR,0,MRS,1.0
211051,2013130910,1,2.0,1.0,1,1996.0,STRN,0,PCP,1.0
211052,2013130910,2,15.0,6.0,1,2010.0,TOYT,0,PUT,1.0
211057,2013050934,1,15.0,6.0,1,2000.0,CHEV,0,PUT,1.0
