,CRN,DEC_LATITUDE,DEC_LONGITUDE,COUNTY,MUNICIPALITY,CRASH_MONTH,DAY_OF_WEEK,HOUR_OF_DAY,TIME_OF_DAY,SUSP_SERIOUS_INJ_COUNT,FATAL_COUNT,COLLISION_TYPE
26036,2020084311,40.987369,-76.635174,47,47208,10,6,,,1,0,7
26051,2020055781,40.301172,-76.86392,22,22101,6,6,,,1,0,1
26060,2020055797,39.965115,-76.719069,66,66301,7,2,,,1,0,4
26065,2020054412,41.962903,-75.742419,57,57404,7,5,,,1,0,4
26093,2020055365,40.619928,-78.789921,11,11203,6,3,,,1,0,4
26101,2020056403,40.03031,-79.716985,26,26205,6,1,,,3,0,2
26109,2020011074,40.250823,-76.892759,21,21412,1,7,,,1,0,8
26110,2020052515,40.201449,-76.970076,21,21104,7,1,,,1,0,7
26141,2020049951,40.756751,-75.594767,48,48416,6,6,,,0,1,8
26162,2020055355,40.015744,-77.532397,28,28213,6,6,,,0,1,1
26181,2020054718,40.383559,-79.995717,2,2301,7,1,,,1,0,2
26185,2020054248,40.600126,-75.368526,48,48210,6,7,,,1,0,7
26188,2020054207,40.712736,-75.523478,39,39207,6,1,,,0,2,4
26195,2020054844,40.111671,-75.055772,46,46105,7,3,,,1,0,4
26205,2020082217,40.832578,-75.300636,48,48213,10,2,,,1,0,4
26208,2020054217,40.510129,-75.499238,39,39210,7,4,,,1,0,7
26232,2020081929,39.955048,-75.184616,67,67301,10,6,,,1,0,8
26234,2020086008,40.806148,-77.200246,54,54201,9,3,,,0,1,4
26236,2020043188,39.902066,-75.151308,67,67301,5,7,,,2,0,7
26245,2020081484,40.684917,-75.381444,48,48206,9,4,,,1,0,0
26277,2020064179,39.865281,-75.365558,23,23301,8,3,,,1,0,4
26278,2020040174,41.579908,-76.227464,8,8235,5,1,,,1,0,98
26285,2020055487,40.439261,-79.993529,2,2301,7,3,,,1,0,7
26308,2020038234,39.889015,-79.216043,55,55405,5,7,,,1,0,7
26313,2020051186,40.186536,-74.886709,9,9213,6,4,,,2,0,7
26338,2020082254,40.013608,-75.481096,15,15256,10,7,,,0,1,4
26339,2020083619,40.295714,-78.382067,7,7213,9,3,,,2,1,4
26342,2020082749,40.217037,-76.432943,36,36230,9,5,,,1,0,7
26360,2020083187,40.78088,-76.228998,53,53406,10,5,,,1,0,8
26369,2020081767,42.0654,-80.114356,25,25213,9,1,,,1,0,1
26405,2020046083,39.970806,-75.23175,67,67301,6,7,,,1,0,5
26406,2020049660,40.20704,-74.855045,9,9211,6,1,,,1,0,4
26421,2020043666,40.618031,-78.342039,7,7202,5,7,,,1,0,7
26430,2020051692,40.201,-77.193972,21,21402,5,7,,,1,0,2
26467,2020083477,40.184182,-75.034598,9,9225,10,4,,,1,0,98
26476,2020037024,40.503333,-78.404337,7,7301,5,7,,,1,0,7
26478,2020083031,40.015043,-75.135168,67,67301,7,1,,,1,1,4
26503,2020077350,41.089631,-75.408667,45,45215,9,2,,,1,0,7
26521,2020048127,40.323521,-79.699859,64,64411,6,6,,,1,0,4
26524,2020055537,40.324583,-80.017889,2,2219,7,3,,,1,0,7
