,CRN,STREET_NAME
185417,2019129921,LEHIGH AV
185446,2019132760,POINT MARION RD
185482,2019062118,LEWISBERRY RD
185617,2020002990,BRODHEAD RD
185618,2020002990,BUCHANAN ST
185701,2019031409,WHARTON ST
185702,2019031409,12TH ST
185716,2019133318,OREGON PK
185717,2019133318,OLD AKRON RD
185740,2019089934,LINCOLN HW
185850,2019092707,LINCOLN AV
185864,2019083471,COMMERCE BL
185884,2019012931,AMBAU RD
185889,2019016372,HAWS AV
185955,2019036694,SEVEN BRIDGES RD
185973,2019012879,PAINT BL
186116,2019108765,MACDADE BL
186117,2019108765,CEDAR AV
186173,2019128037,CLEARFIELD VALLEY BL
186251,2019025304,OLD ROUTE 22 RD
186302,2019134276,HENRY AV
186348,2019064865,SR 2051 HW
186376,2019053390,DEKALB PK
186420,2019081171,NORTHEAST ET
186488,2019112514,24TH ST
186489,2019112514,WASHINGTON AV
186523,2019105088,POCONO SUMMIT RD
186524,2019105088,POCONO SUMMIT RD
186525,2019105088,INDUSTRIAL PARK RD
186592,2019083079,LINCOLN HW
186631,2020007859,GIRARD AV
186686,2019001761,CARLISLE SPRINGS RD
186723,2019035731,CARTER HILL RD
186724,2019079002,JUNIATA TH
186732,2021019262,TORRESDALE AV
