,CRN,AGE,SEX,INJ_SEVERITY,UNIT_NUM,PERSON_TYPE
12750,2022045419,23,F,2.0,2,2.0
12751,2022045419,23,F,3.0,2,2.0
12764,2022122916,13,M,2.0,1,2.0
12765,2022122916,14,M,8.0,1,2.0
12832,2022039837,40,M,0.0,1,1.0
12833,2022039837,75,M,1.0,2,1.0
12843,2022098508,37,F,8.0,1,1.0
12844,2022098508,32,F,2.0,2,1.0
12845,2022098508,35,M,2.0,2,2.0
12846,2022098508,2,F,0.0,2,2.0
12960,2022084058,23,F,1.0,1,1.0
12961,2022084058,53,F,2.0,2,1.0
12969,2022014277,95,M,2.0,1,1.0
12970,2022014277,70,F,3.0,2,1.0
12974,2022037423,51,M,2.0,1,1.0
12986,2022022968,23,M,2.0,1,1.0
13099,2022094903,58,M,8.0,1,1.0
13100,2022094903,58,F,8.0,1,2.0
13101,2022094903,37,F,2.0,1,2.0
13102,2022094903,9,M,0.0,1,2.0
13103,2022094903,1,M,0.0,1,2.0
13146,2022037426,28,M,2.0,1,1.0
13147,2022037426,27,M,2.0,1,2.0
13222,2022038968,79,F,3.0,1,1.0
13223,2022038968,34,F,2.0,2,1.0
13224,2022038968,35,M,2.0,2,2.0
13225,2022038968,6,F,3.0,2,2.0
13226,2022038968,3,M,4.0,2,2.0
13243,2022116350,39,M,1.0,1,1.0
