CASE_ID,PARTY_NUMBER,PARTY_TYPE,AT_FAULT,PARTY_SEX,PARTY_AGE,PARTY_SOBRIETY,PARTY_DRUG_PHYSICAL,DIR_OF_TRAVEL,PARTY_SAFETY_EQUIP_1,PARTY_SAFETY_EQUIP_2,FINAN_RESPONS,SP_INFO_1,SP_INFO_2,SP_INFO_3,OAF_VIOLATION_CODE,OAF_VIOL_CAT,OAF_VIOL_SECTION,OAF_VIOLATION_SUFFIX,OAF_1,OAF_2,PARTY_NUMBER_KILLED,PARTY_NUMBER_INJURED,MOVE_PRE_ACC,VEHICLE_YEAR,VEHICLE_MAKE,STWD_VEHICLE_TYPE,CHP_VEH_TYPE_TOWING,CHP_VEH_TYPE_TOWED,RACE,INATTENTION,SPECIAL_INFO_F,SPECIAL_INFO_G,ACCIDENT_YEAR
9259259,2,1,N,M,26,B,-,N,M,B,Y,-,3,-,-,"- ",,,N,-,0,0,B,2018,-,A,01,,W,,-,-,2021
6528558,1,1,Y,M,51,A,-,S,M,G,N,-,3,-,,43,24002,A,A,-,0,1,J,1993,MERCURY,A,01,,H,,-,-,2014
6528558,2,1,N,M,58,A,-,S,P,W,Y,-,3,-,-,"- ",,,N,-,0,1,B,2012,"DUCATI (MOTORCYCLE)",C,02,,W,,-,-,2014
91149793,1,1,Y,M,28,B,-,E,L,G,N,-,3,-,,25,22350,,A,-,0,1,B,2016,FORD,A,01,,H,,-,-,2019
91149793,2,1,N,M,58,A,-,E,L,G,Y,-,3,-,-,"- ",,,N,-,0,2,B,2002,GMC,A,07,,H,,-,-,2019
91149793,3,1,N,M,31,A,-,E,L,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2015,NISS,A,01,,H,,-,-,2019
91149793,4,1,N,M,33,A,-,E,M,G,N,-,3,-,-,"- ",,,N,-,0,0,B,2000,ACUR,A,01,,H,,-,-,2019
91149793,5,1,N,M,53,A,-,E,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2016,DODG,A,01,,O,,-,-,2019
6562837,1,1,Y,M,23,A,-,E,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,2005,TOYOTA,A,01,,O,,-,-,2014
6562837,2,1,N,M,44,A,-,S,P,H,Y,-,2,-,-,"- ",,,N,-,0,1,B,2002,CHRYSLER,A,01,,W,,-,-,2014
