crash_id,veh_num,make,model,body_type
201901019615,2,2006 TOYT,CAM,Passenger
201901021467,1,(UNK) UNKN,UNK,Passenger
201901019665,1,2015 INTL,(UNK),Truck Single Unit
201901021632,2,2002 DODG,NEO,Passenger
201901019249,2,2014 CHRY,TNC,Van/Mini-Van
201901020175,2,2007 SCIO,TC,Passenger
201901020198,1,2002 CHEV,SE4,Pickup
201901019916,1,2014 DODG,CVN,Passenger
201901020175,1,2019 VOLK,JET,Passenger
201901020608,2,2001 HOND,CLX,Passenger
201901020863,2,2006 NISS,ALT,Passenger
201901020863,5,2017 (UNK),(UNK),Tractor With Semi-Trailer
201901020363,2,(UNK) (UNK),(UNK),Unknown
201901020381,1,2007 DODG,CAL,Pickup
201901020707,2,2017 CHEV,EQX,SUV
201901020863,6,2018 TOYT,(UNK),Passenger
201901020608,1,2011 HYUN,GEN,Passenger
201901020608,3,2017 JEEP,WRG,Passenger
201901020863,1,2017 HYUN,SFE,Passenger
201901020863,4,2010 CHEV,MAL,Passenger
201901020885,1,2016 CHEV,TRX,Passenger
201901020863,3,2008 BUIC,ENC,Passenger
201901020608,4,2013 LEXS,GX,Passenger
201901022670,1,2018 KIA ,SPT,SUV
201901021218,2,2005 TOYT,RAV,Passenger
201901021218,4,2010 HOND,CDX,Passenger
201901021068,1,2016 HYUN,ELN,Passenger
201901022835,2,2005 HOND,PLT,SUV
201901021217,1,2016 SCIO,FRS,Passenger
201901021218,1,2014 FORD,EC4,Bus 9 to 15 seats
201901021232,2,2002 STRN,S2M,Passenger
201901021232,1,2005 GMC ,EXL,SUV
201901021155,3,2005 MAZD,MPV,Passenger
201901021218,3,2003 FORD,TSE,Passenger
201901021632,1,2006 CHEV,IMP,Passenger
201901021718,1,2014 CHEV,CPT,Passenger
201901021551,1,2012 CADI,CTS,Passenger
201901021632,3,1998 JEEP,GCH,SUV
201901021338,1,2019 FORD,F25,Pickup
201901021490,1,2015 FORD,XPL,SUV
201901021718,2,2009 AUDI,A5 ,Passenger
201901021656,2,2018 HOND,CRV,SUV
201901021467,2,2011 JEP ,UNK,SUV
201901021656,1,2003 TOYT,CAM,Passenger
201901023289,2,2014 HOND,CRV,SUV
201901021338,2,2010 DODG,RAM,Passenger
201901022245,1,1997 FORD,(UNK),Pickup
201901021380,1,2008 FORD,MUS,Passenger
201901022152,1,2006 BUIC,LUC,Passenger
201901022152,2,2007 FORD,FSY,Passenger
201901021656,3,2018 VOLK,JET,Passenger
201901022468,1,1997 JEEP,WRG,Other
201901022499,1,2008 FORD,EDG,SUV
201901022245,2,2013 FORD,FUS,Passenger
201901023930,1,2008 TOYT,RAV,Passenger
201901022670,2,1997 CHEV,SLV,Pickup
201901022332,1,2005 HOND,CRV,SUV
201901024003,1,2017 CHEV,MAL,Passenger
201901022661,1,2018 (UNK),(UNK),Passenger
201901022776,1,2003 TOYT,RAV,Passenger
201901022811,2,2017 CHEV,SLV,Pickup
201901022898,2,2008 PTRB,TK,Tractor With Semi-Trailer
201901022811,1,2010 HOND,ELE,Passenger
