Crash Number,City Town Name,Crash Date,Crash Status,Crash Time,Number of Vehicles,Total Fatalities,County Name,Hit and Run,Vehicle Sequence of Events (All Vehicles),Latitude,Longitude,Street Number,Roadway,Near Intersection Roadway,Vehicle Unit Number,Vehicle Make,Vehicle Model,Vehicle Model Year,Driver Violation Code,Person Number,Age,Ejected Description,Injury Type,Person Type,Sex
4133019,ANDOVER,01/06/2016,Closed,4:49 PM,2.0,0.0,ESSEX,No hit and run, V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic),42.6266428,-71.17556599,, CARDINAL LANE / DASCOMB ROAD / SURREY LANE,,2.0,CHEV,,2007.0,,3.0,8.0,Not ejected,No injury,Passenger,M - Male
4133019,ANDOVER,01/06/2016,Closed,4:49 PM,2.0,0.0,ESSEX,No hit and run, V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic),42.6266428,-71.17556599,, CARDINAL LANE / DASCOMB ROAD / SURREY LANE,,2.0,CHEV,,2007.0,,4.0,5.0,Not ejected,No injury,Passenger,F - Female
4133019,ANDOVER,01/06/2016,Closed,4:49 PM,2.0,0.0,ESSEX,No hit and run, V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic),42.6266428,-71.17556599,, CARDINAL LANE / DASCOMB ROAD / SURREY LANE,,2.0,CHEV,,2007.0,,5.0,5.0,Not ejected,No injury,Passenger,F - Female
4133538,SOMERSET,01/06/2016,Closed,5:19 AM,1.0,0.0,BRISTOL,No hit and run, V1:(Collision with pedestrian),41.73218701,-71.17231936,, GRAND ARMY OF THE REPUBLIC HIGHWAY, BRAYTON POINT ROAD,1.0,FORD,,2012.0,,1.0,43.0,Not ejected,No injury,Driver,M - Male
4133538,SOMERSET,01/06/2016,Closed,5:19 AM,1.0,0.0,BRISTOL,No hit and run, V1:(Collision with pedestrian),41.73218701,-71.17231936,, GRAND ARMY OF THE REPUBLIC HIGHWAY, BRAYTON POINT ROAD,,,,,,2.0,63.0,,Non-fatal injury - Incapacitating,Vulnerable User,M - Male
4133589,BROOKLINE,01/08/2016,Closed,3:21 PM,3.0,1.0,NORFOLK,No hit and run, V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic) V3:(Collision with motor vehicle in traffic),42.3096081,-71.16337536,15, LAGRANGE STREET,,1.0,ACUR,TL,2013.0,,1.0,33.0,Not ejected,Non-fatal injury - Possible,Driver,M - Male
4133589,BROOKLINE,01/08/2016,Closed,3:21 PM,3.0,1.0,NORFOLK,No hit and run, V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic) V3:(Collision with motor vehicle in traffic),42.3096081,-71.16337536,15, LAGRANGE STREET,,2.0,FORD,,2009.0,,2.0,100.0,Not ejected,Non-fatal injury - Incapacitating,Driver,M - Male
4133589,BROOKLINE,01/08/2016,Closed,3:21 PM,3.0,1.0,NORFOLK,No hit and run, V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic) V3:(Collision with motor vehicle in traffic),42.3096081,-71.16337536,15, LAGRANGE STREET,,2.0,FORD,,2009.0,,3.0,95.0,Not ejected,Fatal injury (K),Passenger,F - Female
4133589,BROOKLINE,01/08/2016,Closed,3:21 PM,3.0,1.0,NORFOLK,No hit and run, V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic) V3:(Collision with motor vehicle in traffic),42.3096081,-71.16337536,15, LAGRANGE STREET,,3.0,NISS,,2005.0,,4.0,53.0,Not ejected,Non-fatal injury - Non-incapacitating,Driver,M - Male
4133589,BROOKLINE,01/08/2016,Closed,3:21 PM,3.0,1.0,NORFOLK,No hit and run, V1:(Collision with motor vehicle in traffic) V2:(Collision with motor vehicle in traffic) V3:(Collision with motor vehicle in traffic),42.3096081,-71.16337536,15, LAGRANGE STREET,,3.0,NISS,,2005.0,,5.0,16.0,Not ejected,Non-fatal injury - Possible,Passenger,M - Male
