id,vehicle_number,year,make,model,hit_run
200803202008-412,2,2001,FORD,RANGER, 
200803202008-5797,1,2004,HONDA,CRV, 
200803202008-5797,2,1997,FORD,ESCORT, 
200803202008-7508,1,2003,FORD,WINDSTAR, 
200803202008-9304,1,2006,FORD,500, 
200803202008-9304,2,2008,JEEP,WRANGLER, 
200803212008-3053,1,2000,HONDA,ACCORD, 
2008032208-278,1,2004,FORD,BUS, 
2008032208-278,2,2006,CHEVROLET,4DR, 
200803222008-665,1,2000,CHEVROLET,PON., 
2008032308-10940,1,1996,CHEVROLET,CAV, 
2008032308-10940,2,2008,FORD,ECO, 
2008032308-10940,3,1999,CHEVROLET,BLAZER, 
2008032308-14729,1,2003,FORD,WINDSTAR, 
2008032308-8576,1,2008,DODGE,PU, 
200803242008-11934,1,2006,FORD,MUSTANG, 
200803242008-11934,2,2003,HARLEY DAVIDSON,, 
200803242008-1897,1,1996,HONDA,ACCORD-URP, 
200803242008-20015,1,2005,DODGE,NEON, 
200803242008-20015,2,2002,JEEP,LIBERTY, 
200803242008-25952,1,1997,MITSUBISHI,MONTERO, 
200803242008-26784,1,1988,FORD,TBD, 
200803242008-72,1,1985,FORD,F-150, 
20080324200811754,1,1996,FORD,MUST, 
20080324200811754,2,2006,HONDA,CIV, 
20080324C020-2008-00850A,1,2004,MITSUBISHI,LAN, 
20080324C020-2008-00850A,2,2000,TOYOTA,SIE, 
20080324C020200800800A,1,2006,CHEVROLET,BLAZER, 
2008032608-35,1,2006,PONTIAC,G6, 
2008032757-08,1,2005,CADILLAC,STS, 
2008032757-08,2,2001,HYUNDAI,ELN, 
2008032908-5528,1,0   ,HONDA,100R, 
200803292008-11219,1,2006,YAMAHA,MC, 
200803292008-20611,1,1997,FORD,EXPLORER, 
200803292008-21829,1,1998,KIA,SEPH., 
200803292008-8387,1,1995,DODGE,TRUCK, 
200803292008-9263,1,2004,KIA,4 DR, 
200803292008-9263,2,2004,CHRYSLER,SEBRING, 
2008033008-127,1,2004,CHRYSLER,300, 
2008033008-127,2,2002,CHEVROLET,TAN, 
20080330MV08-113,1,1995,HYUNDAI,4 DR, 
20080332C080200800544A,1,2003,NISSAN,ALTIMA, 
20080332C080200800544A,2,2003,HONDA,CBR600RR, 
20080333C080200800002A,1,2003,CHEVROLET,SILVERADO, 
20080333C080200800002A,2,1993,CHEVROLET,BLAZER, 
20080333C080200800239A,1,2003,HARLEY DAVIDSON,883, 
20080333C080200800239A,2,2004,FORD,CROWN VICTORIA, 
20080333C080200800631A,1,1996,FORD,BRONCO, 
20080334C020-2008-00483A,1,2003,CHEVROLET,SILVERADO, 
20080334C020-2008-00711A,1,1994,TOYOTA,CAMRY, 
20080334M08-135,1,2005,MAZDA,6, 
20080334M08-135,2,2004,HARLEY DAVIDSON,MC, 
20080335C080200800323A,1,1993,CHEVROLET,CAVALIER, 
20080335C080200800323A,2,2003,MACK,CV713, 
20080335C080200800323A,3,2003,JEEP,WRANGLER, 
200803372008-13784,1,2005,MAZDA,MZ6, 
200803372008-13784,2,2003,HYUNDAI,ELANTRA, 
200803372008-13784,3,2002,FORD,FOCUS, 
200803372008-13784,4,1997,TOYOTA,CAMRY, 
200803372008-1418,1,1987,FORD,F-250, 
200803372008-1418,2,2003,FORD,EXPEDITION, 
200803372008-1419,1,1987,FORD,F250,Y
200803372008-9489,1,2007,HONDA,ACCORD, 
200803372008-9489,2,2001,FORD,WINDSTAR, 
200803372008-9489,3,1995,CHRYSLER,NEW YORKER, 
20080337C020-2008-00585A,1,1995,ISUZU,RODEO, 
2008033880004298,1,2005,HONDA,CIVIC, 
2008033880009739,1,2001,DODGE,STR, 
2008033880022388,1,1994,HONDA,CIVIC, 
2008033880026530,1,1989,CHEVROLET,FLT, 
2008033880026530,2,1989,CHEVROLET,S10, 
